id,shubetu_id,kokushi_id,school_cd,gakubu_cd,gakka_cd,bunri_type,school_name,school_kananame,gakubu_name,gakka_name
1,1,2,270,46,177,1,愛国学園大学,アイコクガクエンダイガク,人間文化学部,人間文化学科
2,1,2,270,46,HZ8,1,愛国学園大学,アイコクガクエンダイガク,人間文化学部,その他学科
3,1,2,270,991,HZ8,1,愛国学園大学,アイコクガクエンダイガク,その他文系学部,その他学科
4,1,2,270,992,HZ8,2,愛国学園大学,アイコクガクエンダイガク,その他理系学部,その他学科
5,1,2,915,171,1P9,2,愛知医科大学,アイチイカダイガク,医学部,医学科
6,1,2,915,171,HZ8,2,愛知医科大学,アイチイカダイガク,医学部,その他学科
7,1,2,915,693,974,2,愛知医科大学,アイチイカダイガク,看護学部,看護学科
8,1,2,915,693,HZ8,2,愛知医科大学,アイチイカダイガク,看護学部,その他学科
9,1,2,915,991,HZ8,1,愛知医科大学,アイチイカダイガク,その他文系学部,その他学科
10,1,2,915,992,HZ8,2,愛知医科大学,アイチイカダイガク,その他理系学部,その他学科
11,0,2,7915,664,2T7,2,愛知医科大学大学院,アイチイカダイガクダイガクイン,医学研究科,基礎医学系専攻
12,0,2,7915,664,8Z2,2,愛知医科大学大学院,アイチイカダイガクダイガクイン,医学研究科,臨床医学系専攻
13,0,2,7915,664,HZ9,2,愛知医科大学大学院,アイチイカダイガクダイガクイン,医学研究科,その他専攻
14,0,2,7915,692,2R9,2,愛知医科大学大学院,アイチイカダイガクダイガクイン,看護学研究科,看護学専攻
15,0,2,7915,692,HZ9,2,愛知医科大学大学院,アイチイカダイガクダイガクイン,看護学研究科,その他専攻
16,0,2,7915,994,HZ9,1,愛知医科大学大学院,アイチイカダイガクダイガクイン,その他文系研究科,その他専攻
17,0,2,7915,995,HZ9,2,愛知医科大学大学院,アイチイカダイガクダイガクイン,その他理系研究科,その他専攻
18,1,2,485,1,2,1,愛知学院大学,アイチガクインダイガク,法学部,法律学科
19,1,2,485,1,4RG,1,愛知学院大学,アイチガクインダイガク,法学部,現代社会法学科
20,1,2,485,1,HZ8,1,愛知学院大学,アイチガクインダイガク,法学部,その他学科
21,1,2,485,4,17,1,愛知学院大学,アイチガクインダイガク,経済学部,経済学科
22,1,2,485,4,HZ8,1,愛知学院大学,アイチガクインダイガク,経済学部,その他学科
23,1,2,485,7,30,1,愛知学院大学,アイチガクインダイガク,経営学部,経営学科
24,1,2,485,7,1KD,1,愛知学院大学,アイチガクインダイガク,経営学部,現代企業学科
25,1,2,485,7,HZ8,1,愛知学院大学,アイチガクインダイガク,経営学部,その他学科
26,1,2,485,9,35,1,愛知学院大学,アイチガクインダイガク,商学部,商学科
27,1,2,485,9,4HK,1,愛知学院大学,アイチガクインダイガク,商学部,ビジネス情報学科
28,1,2,485,9,HZ8,1,愛知学院大学,アイチガクインダイガク,商学部,その他学科
29,1,2,485,36,15,1,愛知学院大学,アイチガクインダイガク,総合政策学部,総合政策学科
30,1,2,485,36,HZ8,1,愛知学院大学,アイチガクインダイガク,総合政策学部,その他学科
31,1,2,485,03A,218,1,愛知学院大学,アイチガクインダイガク,心身科学部,心理学科
32,1,2,485,03A,9T5,1,愛知学院大学,アイチガクインダイガク,心身科学部,健康栄養学科
33,1,2,485,03A,HB6,1,愛知学院大学,アイチガクインダイガク,心身科学部,健康科学科
34,1,2,485,03A,HZ8,1,愛知学院大学,アイチガクインダイガク,心身科学部,その他学科
35,1,2,485,41,68,1,愛知学院大学,アイチガクインダイガク,文学部,国際文化学科
36,1,2,485,41,160,1,愛知学院大学,アイチガクインダイガク,文学部,英語英米文化学科
37,1,2,485,41,184,1,愛知学院大学,アイチガクインダイガク,文学部,日本文化学科
38,1,2,485,41,1MY,1,愛知学院大学,アイチガクインダイガク,文学部,グローバル英語学科
39,1,2,485,41,1XO,1,愛知学院大学,アイチガクインダイガク,文学部,宗教文化学科
40,1,2,485,41,211,1,愛知学院大学,アイチガクインダイガク,文学部,歴史学科
41,1,2,485,41,HZ8,1,愛知学院大学,アイチガクインダイガク,文学部,その他学科
42,1,2,485,161,1R7,2,愛知学院大学,アイチガクインダイガク,薬学部,医療薬学科
43,1,2,485,161,HZ8,2,愛知学院大学,アイチガクインダイガク,薬学部,その他学科
44,1,2,485,774,4M9,2,愛知学院大学,アイチガクインダイガク,歯学部,歯学科
45,1,2,485,774,HZ8,2,愛知学院大学,アイチガクインダイガク,歯学部,その他学科
46,1,2,485,991,HZ8,1,愛知学院大学,アイチガクインダイガク,その他文系学部,その他学科
47,1,2,485,992,HZ8,2,愛知学院大学,アイチガクインダイガク,その他理系学部,その他学科
48,0,2,7485,04Z,3M3,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,心身科学研究科,健康科学専攻
49,0,2,7485,04Z,5H2,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,心身科学研究科,心理学専攻
50,0,2,7485,04Z,HZ9,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,心身科学研究科,その他専攻
51,0,2,7485,09Z,07C,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,薬科学研究科,薬科学専攻
52,0,2,7485,09Z,HZ9,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,薬科学研究科,その他専攻
53,0,2,7485,219,4KN,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,法務研究科,法務専攻
54,0,2,7485,219,HZ9,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,法務研究科,その他専攻
55,0,2,7485,702,619,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,経営学研究科,経営学専攻
56,0,2,7485,702,HZ9,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,経営学研究科,その他専攻
57,0,2,7485,714,3G6,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,経済学研究科,経済学専攻
58,0,2,7485,714,HZ9,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,経済学研究科,その他専攻
59,0,2,7485,773,4M5,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,歯学研究科,歯科基礎系専攻
60,0,2,7485,773,4M8,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,歯学研究科,歯科臨床系専攻
61,0,2,7485,773,4N2,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,歯学研究科,歯学専攻
62,0,2,7485,773,HZ9,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,歯学研究科,その他専攻
63,0,2,7485,792,4X8,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,商学研究科,商学専攻
64,0,2,7485,792,HZ9,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,商学研究科,その他専攻
65,0,2,7485,878,6S1,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,総合政策研究科,総合政策専攻
66,0,2,7485,878,HZ9,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,総合政策研究科,その他専攻
67,0,2,7485,929,1U3,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,文学研究科,英語圏文化専攻
68,0,2,7485,929,25P,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,文学研究科,宗教学仏教学専攻
69,0,2,7485,929,7W6,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,文学研究科,日本文化専攻
70,0,2,7485,929,9A4,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,文学研究科,歴史学専攻
71,0,2,7485,929,HZ9,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,文学研究科,その他専攻
72,0,2,7485,942,8T5,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,法学研究科,法律学専攻
73,0,2,7485,942,HZ9,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,法学研究科,その他専攻
74,0,2,7485,955,1R8,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,薬学研究科,医療薬学専攻
75,0,2,7485,955,HZ9,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,薬学研究科,その他専攻
76,0,2,7485,994,HZ9,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,その他文系研究科,その他専攻
77,0,2,7485,995,HZ9,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,その他理系研究科,その他専攻
78,1,2,486,7,30,1,愛知学泉大学,アイチガクセンダイガク,経営学部,経営学科
79,1,2,486,7,HZ8,1,愛知学泉大学,アイチガクセンダイガク,経営学部,その他学科
80,1,2,486,93,23N,1,愛知学泉大学,アイチガクセンダイガク,家政学部,家政学科　こどもの生活専攻
81,1,2,486,93,2F5,1,愛知学泉大学,アイチガクセンダイガク,家政学部,家政学科　家政学専攻
