id,shubetu_id,kokushi_id,school_cd,gakubu_cd,bunri_type,school_name,school_kananame,gakubu_name
1,1,2,270,46,1,愛国学園大学,アイコクガクエンダイガク,人間文化学部
2,1,2,270,991,1,愛国学園大学,アイコクガクエンダイガク,その他文系学部
3,1,2,270,992,2,愛国学園大学,アイコクガクエンダイガク,その他理系学部
4,1,2,915,171,2,愛知医科大学,アイチイカダイガク,医学部
5,1,2,915,693,2,愛知医科大学,アイチイカダイガク,看護学部
6,1,2,915,991,1,愛知医科大学,アイチイカダイガク,その他文系学部
7,1,2,915,992,2,愛知医科大学,アイチイカダイガク,その他理系学部
8,0,2,7915,664,2,愛知医科大学大学院,アイチイカダイガクダイガクイン,医学研究科
9,0,2,7915,692,2,愛知医科大学大学院,アイチイカダイガクダイガクイン,看護学研究科
10,0,2,7915,994,1,愛知医科大学大学院,アイチイカダイガクダイガクイン,その他文系研究科
11,0,2,7915,995,2,愛知医科大学大学院,アイチイカダイガクダイガクイン,その他理系研究科
12,1,2,485,1,1,愛知学院大学,アイチガクインダイガク,法学部
13,1,2,485,4,1,愛知学院大学,アイチガクインダイガク,経済学部
14,1,2,485,7,1,愛知学院大学,アイチガクインダイガク,経営学部
15,1,2,485,9,1,愛知学院大学,アイチガクインダイガク,商学部
16,1,2,485,36,1,愛知学院大学,アイチガクインダイガク,総合政策学部
17,1,2,485,03A,1,愛知学院大学,アイチガクインダイガク,心身科学部
18,1,2,485,41,1,愛知学院大学,アイチガクインダイガク,文学部
19,1,2,485,161,2,愛知学院大学,アイチガクインダイガク,薬学部
20,1,2,485,774,2,愛知学院大学,アイチガクインダイガク,歯学部
21,1,2,485,991,1,愛知学院大学,アイチガクインダイガク,その他文系学部
22,1,2,485,992,2,愛知学院大学,アイチガクインダイガク,その他理系学部
23,0,2,7485,04Z,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,心身科学研究科
24,0,2,7485,09Z,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,薬科学研究科
25,0,2,7485,219,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,法務研究科
26,0,2,7485,702,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,経営学研究科
27,0,2,7485,714,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,経済学研究科
28,0,2,7485,773,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,歯学研究科
29,0,2,7485,792,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,商学研究科
30,0,2,7485,878,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,総合政策研究科
31,0,2,7485,929,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,文学研究科
32,0,2,7485,942,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,法学研究科
33,0,2,7485,955,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,薬学研究科
34,0,2,7485,994,1,愛知学院大学大学院,アイチガクインダイガクダイガクイン,その他文系研究科
35,0,2,7485,995,2,愛知学院大学大学院,アイチガクインダイガクダイガクイン,その他理系研究科
36,1,2,486,7,1,愛知学泉大学,アイチガクセンダイガク,経営学部
37,1,2,486,93,1,愛知学泉大学,アイチガクセンダイガク,家政学部
38,1,2,486,31C,1,愛知学泉大学,アイチガクセンダイガク,現代マネジメント学部
39,1,2,486,629,1,愛知学泉大学,アイチガクセンダイガク,コミュニティ政策学部
40,1,2,486,991,1,愛知学泉大学,アイチガクセンダイガク,その他文系学部
41,1,2,486,992,2,愛知学泉大学,アイチガクセンダイガク,その他理系学部
42,1,1,80,77,1,愛知教育大学,アイチキヨウイクダイガク,教育学部
43,1,1,80,991,1,愛知教育大学,アイチキヨウイクダイガク,その他文系学部
44,1,1,80,992,2,愛知教育大学,アイチキヨウイクダイガク,その他理系学部
45,0,1,7080,10L,1,愛知教育大学大学院,アイチキヨウイクダイガクダイガクイン,教育実践研究科
46,0,1,7080,697,1,愛知教育大学大学院,アイチキヨウイクダイガクダイガクイン,教育学研究科
47,0,1,7080,697,2,愛知教育大学大学院,アイチキヨウイクダイガクダイガクイン,教育学研究科
48,0,1,7080,994,1,愛知教育大学大学院,アイチキヨウイクダイガクダイガクイン,その他文系研究科
